Ano,Município,Grau Instrução,Salário,SaldoMov
2007,260410,03,-38512,69
2007,260410,04,80517,345
2007,260410,05,21098,111
2007,260410,06,112060,318
2007,260410,07,926064,2314
2007,260410,08,89495,221
2007,260410,09,244487,310
2007,260720,01,138307,319
2007,260720,02,473113,1108
2007,260720,03,158674,330
2007,260720,04,89855,228
2007,260720,05,44887,136
2007,260720,06,40174,114
2007,260720,07,-44507,203
2007,260720,08,-35237,21
2007,260720,09,-231218,-20
2007,260790,01,7798,-12
2007,260790,02,48929,152
2007,260790,03,-136479,-167
2007,260790,04,24878,279
2007,260790,05,30306,259
2007,260790,06,97327,362
2007,260790,07,1178435,3114
2007,260790,08,-19571,221
2007,260790,09,120742,192
2007,260960,01,-6317,-15
2007,260960,02,59253,138
2007,260960,03,-6995,-388
2007,260960,04,-73506,-26
2007,260960,05,-31792,132
2007,260960,06,63478,314
2007,260960,07,1113342,3004
2007,260960,08,87025,247
2007,260960,09,-62182,140
2007,261110,01,1319,46
2007,261110,02,-194914,-85
2007,261110,03,49847,268
2007,261110,04,55998,462
2007,261110,05,-37925,131
2007,261110,06,60531,340
2007,261110,07,146966,1137
2007,261110,08,17520,67
2007,261110,09,-37159,24
2007,261160,01,-56144,-15
2007,261160,02,-208500,-21
2007,261160,03,-83774,430
2007,261160,04,131816,952
2007,261160,05,227060,1259
2007,261160,06,247310,1314
2007,261160,07,4612137,11809
2007,261160,08,442845,1374
2007,261160,09,101891,1739
2007,270430,01,-192726,-437
2007,270430,02,-868466,-1924
2007,270430,03,-107744,-9
2007,270430,04,-120717,11
2007,270430,05,-321415,-101
2007,270430,06,-219254,-57
2007,270430,07,164566,2743
2007,270430,08,17996,356
2007,270430,09,-403278,130
2007,280030,01,-10120,-24
2007,280030,02,99810,310
2007,280030,03,-121924,-104
2007,280030,04,-9857,472
2007,280030,05,-498668,-214
2007,280030,06,-63734,457
2007,280030,07,-148821,2158
2007,280030,08,-10686,310
2007,280030,09,-263647,130
2007,290570,01,-14987,-11
2007,290570,02,-48079,-25
2007,290570,03,-58387,-21
2007,290570,04,6803,189
2007,290570,05,-720350,-441
2007,290570,06,-291257,45
2007,290570,07,-253613,3228
2007,290570,08,-126906,177
2007,290570,09,-56573,219
2007,291080,01,-18583,-54
2007,291080,02,-163864,-305
2007,291080,03,-136874,-204
2007,291080,04,-46072,82
2007,291080,05,156844,622
2007,291080,06,161429,491
2007,291080,07,1056490,2994
2007,291080,08,155498,220
2007,291080,09,37335,118
2007,291920,01,38943,87
2007,291920,02,-65105,-92
2007,291920,03,-64562,-26
2007,291920,04,-165052,-1
2007,291920,05,249460,764
2007,291920,06,49459,357
2007,291920,07,1763220,4413
2007,291920,08,88192,166
2007,291920,09,-178248,121
2007,292740,01,133785,250
2007,292740,02,-334103,475
2007,292740,03,-364473,132
2007,292740,04,-824635,819
2007,292740,05,-1645002,-1026
2007,292740,06,-144516,1185
2007,292740,07,2471769,14337
2007,292740,08,-190994,552
2007,292740,09,2119049,2280
2007,292920,01,1951,4
2007,292920,02,-1587,2
2007,292920,03,-5888,2
2007,292920,04,-113700,-44
2007,292920,05,-96670,54
2007,292920,06,-34611,-8
2007,292920,07,-129381,17
2007,292920,08,-17155,-6
2007,292920,09,-6045,16
2007,293070,01,-1456,-3
2007,293070,02,-34614,-43
2007,293070,03,-82345,-144
2007,293070,04,2495,33
2007,293070,05,-83725,-90
2007,293070,06,-2602,94
2007,293070,07,245973,1023
2007,293070,08,64226,131
2007,293070,09,79860,117
2007,293330,01,-14235,16
2007,293330,02,-136354,-215
2007,293330,03,-134524,-178
2007,293330,04,-211203,-179
2007,293330,05,89039,704
2007,293330,06,-170733,145
2007,293330,07,-215826,818
2007,293330,08,11993,86
2007,293330,09,164800,102
2007,310400,01,-1077,-1
2007,310400,02,-38902,-36
2007,310400,03,-80049,-103
2007,310400,04,-69295,-44
2007,310400,05,43204,35
2007,310400,06,-62331,38
2007,310400,07,623377,831
2007,310400,08,65601,45
2007,310400,09,137727,117
2007,310620,01,-14413,106
2007,310620,02,-1102326,370
2007,310620,03,-1269688,1154
2007,310620,04,-1861083,1579
2007,310620,05,-1335432,4199
2007,310620,06,30128,3764
2007,310620,07,10459094,35457
2007,310620,08,2056033,4125
2007,310620,09,4135733,4717
2007,310670,01,-3225,-17
2007,310670,02,29937,82
2007,310670,03,-274575,-123
2007,310670,04,-208678,176
2007,310670,05,718892,2011
2007,310670,06,352289,1334
2007,310670,07,3365415,6042
2007,310670,08,243850,272
2007,310670,09,623680,389
2007,311860,01,-22767,-8
2007,311860,02,114962,446
2007,311860,03,-158206,201
2007,311860,04,-1245009,-803
2007,311860,05,-1602568,-969
2007,311860,06,-296329,658
2007,311860,07,-1020978,3272
2007,311860,08,-118213,182
2007,311860,09,-1191985,163
2007,312230,01,14981,9
2007,312230,02,-41304,-75
2007,312230,03,-78889,-68
2007,312230,04,-251236,-309
2007,312230,05,-113326,145
2007,312230,06,111318,545
2007,312230,07,272515,1172
2007,312230,08,-17,93
2007,312230,09,23746,125
2007,312510,01,-2613,-6
2007,312510,02,-11526,-9
2007,312510,03,-21773,-22
2007,312510,04,40609,111
2007,312510,05,-19312,-132
2007,312510,06,19115,60
2007,312510,07,121516,321
2007,312510,08,-22321,-24
2007,312510,09,-10297,37
2007,312770,01,-10570,-5
2007,312770,02,22345,66
2007,312770,03,-209025,-185
2007,312770,04,-136777,-91
2007,312770,05,-491452,-610
2007,312770,06,-202123,-92
2007,312770,07,466355,1574
2007,312770,08,22906,72
2007,312770,09,109412,153
2007,313130,01,-8450,-10
2007,313130,02,58991,75
2007,313130,03,65890,173
2007,313130,04,-772005,177
2007,313130,05,405570,750
2007,313130,06,200153,725
2007,313130,07,798874,2120
2007,313130,08,42610,124
2007,313130,09,-19549,122
2007,313170,01,-9201,-21
2007,313170,02,-16839,9
2007,313170,03,22686,59
2007,313170,04,22468,107
2007,313170,05,11452,164
2007,313170,06,56863,140
2007,313170,07,552032,1100
2007,313170,08,-19580,-14
2007,313170,09,-24943,92
2007,313670,01,1306,7
2007,313670,02,-83034,-74
2007,313670,03,-148372,-105
2007,313670,04,-266458,-137
2007,313670,05,30993,572
2007,313670,06,79356,596
2007,313670,07,866952,3213
2007,313670,08,4534,194
2007,313670,09,33354,512
2007,314330,01,-4610,-5
2007,314330,02,-42546,-52
2007,314330,03,-120983,-167
2007,314330,04,-56838,106
2007,314330,05,-74649,354
2007,314330,06,-37263,264
2007,314330,07,126058,1614
2007,314330,08,26461,170
2007,314330,09,-129060,324
2007,314480,01,5821,15
2007,314480,02,165091,400
2007,314480,03,231789,572
2007,314480,04,-28428,78
2007,314480,05,99402,277
2007,314480,06,56538,225
2007,314480,07,754602,1303
2007,314480,08,129111,131
2007,314480,09,919679,585
2007,314610,01,-797,-4
2007,314610,02,87512,156
2007,314610,03,-60462,-10
2007,314610,04,38206,63
2007,314610,05,-19979,25
2007,314610,06,10934,5
2007,314610,07,224737,395
2007,314610,08,6762,23
2007,314610,09,-7270,52
2007,315180,01,-6461,-7
2007,315180,02,11508,43
2007,315180,03,-57012,49
2007,315180,04,-199025,-160
2007,315180,05,29315,342
2007,315180,06,-50706,193
2007,315180,07,67769,976
2007,315180,08,71333,127
2007,315180,09,12872,106
2007,315250,01,9194,22
2007,315250,02,-12535,11
2007,315250,03,-36954,44
2007,315250,04,-6915,142
2007,315250,05,-102769,412
2007,315250,06,-56753,185
2007,315250,07,16173,732
2007,315250,08,4228,58
2007,315250,09,118236,220
2007,316720,01,12572,10
2007,316720,02,-21205,29
2007,316720,03,-119759,-123
2007,316720,04,19815,93
2007,316720,05,94184,276
2007,316720,06,143353,458
2007,316720,07,428700,1507
2007,316720,08,14246,75
2007,316720,09,-55512,193
2007,317010,01,-506,-14
2007,317010,02,-158605,-231
2007,317010,03,-338928,-650
2007,317010,04,-132194,32
2007,317010,05,-255814,-283
2007,317010,06,-21541,205
2007,317010,07,200365,1045
2007,317010,08,20823,184
2007,317010,09,-4569,371
2007,317020,01,-51597,-65
2007,317020,02,-38411,104
2007,317020,03,-232005,-24
2007,317020,04,-201741,717
2007,317020,05,-287673,641
2007,317020,06,-145781,1068
2007,317020,07,1043297,4981
2007,317020,08,-52152,672
