Ano,Município,Raça Cor,Salário,SaldoMov
2007,270430,06,32807,77
2007,270430,08,-617676,936
2007,270430,09,25292,142
2007,270430,{ñ,13925,34
2007,280030,01,14439,34
2007,280030,02,-389701,831
2007,280030,04,109421,478
2007,280030,06,-51708,-6
2007,280030,08,-1130150,1283
2007,280030,09,395447,818
2007,280030,{ñ,24605,57
2007,290570,01,-12829,7
2007,290570,02,-1069412,3
2007,290570,04,-41786,392
2007,290570,06,-49738,-2
2007,290570,08,-851133,2650
2007,290570,09,515100,414
2007,290570,{ñ,-53551,-104
2007,291080,01,10967,40
2007,291080,02,-115163,44
2007,291080,04,283659,636
2007,291080,06,1537,-1
2007,291080,08,946176,3112
2007,291080,09,-2699,26
2007,291080,{ñ,77726,107
2007,291920,01,7720,30
2007,291920,02,360772,1510
2007,291920,04,7119,148
2007,291920,06,-30226,-50
2007,291920,08,1128394,3692
2007,291920,09,245531,459
2007,291920,{ñ,-3003,0
2007,292740,01,-868022,-1277
2007,292740,02,-1619650,1237
2007,292740,04,1069838,3660
2007,292740,06,-28349,17
2007,292740,08,1216164,13142
2007,292740,09,1401715,2217
2007,292740,{ñ,49184,8
2007,292920,01,-3416,0
2007,292920,02,-28757,19
2007,292920,04,-14223,22
2007,292920,06,-4428,0
2007,292920,08,-264641,-60
2007,292920,09,-87621,56
2007,293070,02,-45654,130
2007,293070,04,130608,258
2007,293070,06,-4617,1
2007,293070,08,35766,589
2007,293070,09,71968,122
2007,293070,{ñ,-2627,-4
2007,293330,01,-14523,-23
2007,293330,02,-184834,330
2007,293330,04,4069,141
2007,293330,06,-6512,-4
2007,293330,08,-412191,822
2007,293330,09,-3052,33
2007,310400,01,3383,4
2007,310400,02,589465,784
2007,310400,04,46033,48
2007,310400,06,4838,-2
2007,310400,08,12930,116
2007,310400,09,-37967,-66
2007,310400,{ñ,-427,-2
2007,310620,01,-667941,-701
2007,310620,02,-1525041,11525
2007,310620,04,508321,4239
2007,310620,06,131073,510
2007,310620,08,8342833,33074
2007,310620,09,4318161,6857
2007,310620,{ñ,-9360,-33
2007,310670,01,62096,97
2007,310670,02,1507988,3580
2007,310670,04,664272,1322
2007,310670,06,163982,235
2007,310670,08,2219149,4532
2007,310670,09,229250,399
2007,310670,{ñ,848,1
2007,311860,01,-3062,6
2007,311860,02,-2924043,2001
2007,311860,04,86910,696
2007,311860,06,-32785,74
2007,311860,08,-3053846,-433
2007,311860,09,369965,771
2007,311860,{ñ,15768,27
2007,312230,01,-2286,-4
2007,312230,02,75457,1624
2007,312230,04,67709,197
2007,312230,06,-20490,-30
2007,312230,08,-151570,-72
2007,312230,09,-29478,-75
2007,312230,{ñ,-1554,-3
2007,312510,01,-759,-4
2007,312510,02,90844,317
2007,312510,04,4837,12
2007,312510,06,-2597,-1
2007,312510,08,-18199,-33
2007,312510,09,27804,47
2007,312510,{ñ,-8532,-2
2007,312770,01,-526,19
2007,312770,02,-161121,164
2007,312770,04,-83014,-72
2007,312770,06,-3410,13
2007,312770,08,-335816,312
2007,312770,09,154041,444
2007,312770,{ñ,917,2
2007,313130,02,-1535471,84
2007,313130,04,-32834,35
2007,313130,06,26683,66
2007,313130,08,1150374,2687
2007,313130,09,304717,445
2007,313130,{ñ,869122,966
2007,313170,01,2258,10
2007,313170,02,353546,808
2007,313170,04,72364,225
2007,313170,06,9146,33
2007,313170,08,154465,557
2007,313170,09,-10408,-13
2007,313170,{ñ,13567,16
2007,313670,01,-18025,-13
2007,313670,02,-274999,2076
2007,313670,04,300710,1182
2007,313670,06,-20399,8
2007,313670,08,263713,1039
2007,313670,09,271872,496
2007,313670,{ñ,-4241,-10
2007,314330,01,-11679,6
2007,314330,02,-563728,421
2007,314330,04,-47302,6
2007,314330,06,-199,14
2007,314330,08,363841,2014
2007,314330,09,-54128,147
2007,314330,{ñ,-235,0
2007,314480,01,-21232,-27
2007,314480,02,1304214,1753
2007,314480,04,209225,365
2007,314480,06,-10261,1
